latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.862915,12.539912,58.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),precipitation (mm),wind_speed_10m (km/h)
2022-01-01T00:00,8.1,94,1019.0,0.00,4.6
2022-01-01T01:00,7.9,96,1019.4,0.00,7.4
2022-01-01T02:00,7.9,96,1019.1,0.00,6.7
2022-01-01T03:00,7.1,99,1018.5,0.00,7.9
2022-01-01T04:00,6.4,100,1018.4,0.00,8.9
2022-01-01T05:00,5.7,100,1018.3,0.00,8.0
2022-01-01T06:00,5.3,98,1018.6,0.00,8.5
2022-01-01T07:00,5.4,95,1018.8,0.00,9.0
2022-01-01T08:00,7.0,90,1019.1,0.00,9.9
2022-01-01T09:00,8.8,85,1019.5,0.00,8.4
2022-01-01T10:00,10.6,81,1019.8,0.00,7.2
2022-01-01T11:00,12.4,76,1019.3,0.00,5.9
2022-01-01T12:00,11.9,79,1019.5,0.00,3.7
2022-01-01T13:00,12.8,77,1019.1,0.00,1.9
2022-01-01T14:00,13.0,77,1018.7,0.00,2.2
2022-01-01T15:00,12.3,83,1018.9,0.00,2.1
2022-01-01T16:00,9.6,89,1019.3,0.00,5.2
2022-01-01T17:00,8.2,95,1019.7,0.00,4.4
2022-01-01T18:00,8.4,95,1020.0,0.00,1.5
2022-01-01T19:00,7.9,92,1020.2,0.00,4.7
2022-01-01T20:00,7.4,91,1020.5,0.00,6.2
2022-01-01T21:00,5.9,95,1020.9,0.00,9.2
2022-01-01T22:00,6.6,94,1021.1,0.00,8.7
2022-01-01T23:00,5.8,96,1021.3,0.00,8.9
2022-01-02T00:00,5.9,100,1021.4,0.00,8.0
2022-01-02T01:00,6.8,99,1021.3,0.00,8.9
2022-01-02T02:00,7.2,97,1021.3,0.00,8.9
2022-01-02T03:00,7.2,97,1021.1,0.00,9.7
2022-01-02T04:00,7.0,97,1020.8,0.00,9.5
2022-01-02T05:00,6.8,96,1020.5,0.00,9.9
2022-01-02T06:00,6.5,97,1020.6,0.00,8.5
2022-01-02T07:00,6.5,97,1020.6,0.00,8.7
2022-01-02T08:00,7.0,96,1021.0,0.00,8.4
2022-01-02T09:00,7.7,95,1021.2,0.00,7.4
2022-01-02T10:00,8.1,97,1021.3,0.00,5.4
2022-01-02T11:00,9.4,92,1020.8,0.00,3.1
2022-01-02T12:00,10.2,85,1021.1,0.00,4.3
2022-01-02T13:00,10.4,84,1020.4,0.00,1.4
2022-01-02T14:00,10.6,82,1020.1,0.00,2.3
2022-01-02T15:00,10.7,80,1020.0,0.00,1.0
2022-01-02T16:00,9.7,88,1019.8,0.00,1.8
2022-01-02T17:00,8.9,92,1019.9,0.00,5.4
2022-01-02T18:00,8.2,95,1019.8,0.00,4.4
2022-01-02T19:00,8.1,95,1019.7,0.00,3.4
